# 六感菜单繁体手工校准词条 —— 按 SKU3惠而浦烤箱6th菜单菜谱-中英文-2026.xlsx 繁体块逐字
# 重放: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tw_table.c 之前先备份
# 实际用法: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tsv ui_builder/custom/i18n_tw_table.c
# 格式: zh<TAB>tw ; C 源里的 \n 写作 ⏎ ; # 开头为注释
# ==== 一、行片段(头部/层数/器皿, 与描述页共享的独立键) ====
烹饪说明：	烹調指引：
参照您喜欢的食谱进行准备。调味拌入黑椒碎、盐、橄榄油和自己喜欢的酱料等	掃上油並灑上鹽和胡椒。按個人喜好用黑胡椒、油和醬汁調味。
把土豆切成片，在烤盘里叠放成排。把奶油均匀地倒在上面，撒上奶酪。重复做两层，最后在上面涂上一层奶油和奶酪，以达到完美的褐色	將薯仔切片，在焗盤中層層交疊排列。將忌廉均勻倒在表面，並灑上芝士。重複此步驟多做兩層，最後在表面倒入忌廉和灑滿芝士，以焗至金黃色。
参照您喜欢的食谱进行准备。顶部浇上白浆和奶酪碎，以便完美的上色效果	按個人喜愛的食譜準備。在表面淋上白汁並灑上芝士，以焗至金黃香脆。
均匀分布在气炸盘中	平鋪在氣炸盤上。
去掉玉米的皮和须。刷上油，撒上盐。根据你的喜好调味。均匀分布在烤盘上	去除粟米葉和粟米鬚。掃上油並灑上鹽。按個人喜好調味。平鋪在焗盤上。
用叉子刺红薯6到8次。在放入烤箱之前，将表皮抹上油并撒上盐	用叉在番薯表面戳 6 至 8 下。放入焗爐前，在外皮掃上油並灑上鹽。
用叉子在土豆上扎6到8次。在放入烤箱之前，用油刷皮，并在皮上撒上粗盐	用叉在薯仔表面戳 6 至 8 下。放入焗爐前，在外皮掃上油並裹上粗鹽。
刷油，抹上盐和胡椒。根据个人喜好，用蒜和香草调味。烹调结束后，在分切前至少静止15分钟	掃上適量油，並抹上鹽和胡椒。可按個人喜好，加入蒜頭和香草調味。烹調完成後，請靜置至少 15 分鐘再切開。
刷油，擦盐和胡椒。根据个人喜好，用蒜和香草调味。烹调结束后，在分切前至少静止15分钟	掃上適量油，並抹上鹽和胡椒。可按個人喜好，加入蒜頭和香草調味。烹調完成後，請靜置至少 15 分鐘再切開。
在放入烤箱之前，刷上油，加盐和烧烤调料调味	放入焗爐前，掃上食油。按個人喜好加入鹽及燒烤調味料調味。
